District,District_Code,Mandal,Mandal_Code,Village,Village_Code
RANGAREDDY,15_1,CHOWDERGUDEM,05,CHEGIREDDI GHANPUR,1411030
RANGAREDDY,15_1,CHOWDERGUDEM,05,CHENNAREDDIGUDA,1411026
RANGAREDDY,15_1,CHOWDERGUDEM,05,EDIRA,1411037
RANGAREDDY,15_1,CHOWDERGUDEM,05,GUNJALAPAHAD,1411001
RANGAREDDY,15_1,CHOWDERGUDEM,05,GURRAMPALLE,1411028
RANGAREDDY,15_1,CHOWDERGUDEM,05,HAZIPET,1411032
RANGAREDDY,15_1,CHOWDERGUDEM,05,INDRANAGAR,1411023
RANGAREDDY,15_1,CHOWDERGUDEM,05,JAKARAM,1411036
RANGAREDDY,15_1,CHOWDERGUDEM,05,JILLED,1411024
RANGAREDDY,15_1,CHOWDERGUDEM,05,MALKAPAHAD,1411033
RANGAREDDY,15_1,CHOWDERGUDEM,05,PADMARAM,1411025
RANGAREDDY,15_1,CHOWDERGUDEM,05,PEDDA YELKICHERLA,1411031
RANGAREDDY,15_1,CHOWDERGUDEM,05,RAVIRYAL,1411029
RANGAREDDY,15_1,CHOWDERGUDEM,05,THOOMPALLE,1411022
RANGAREDDY,15_1,CHOWDERGUDEM,05,TUMMALAPALLE,1411004
RANGAREDDY,15_1,CHOWDERGUDEM,05,VANAMPALLE,1411002
RANGAREDDY,15_1,CHOWDERGUDEM,05,VEERANNAPETA,1411027
RANGAREDDY,15_1,FAROOQNAGAR,06,ALLISABGUDA,1412006
RANGAREDDY,15_1,FAROOQNAGAR,06,ANNARAM,1412027
RANGAREDDY,15_1,FAROOQNAGAR,06,BHEMARAM,1412023
RANGAREDDY,15_1,FAROOQNAGAR,06,BUCHIGUDA,1412015
RANGAREDDY,15_1,FAROOQNAGAR,06,BURGUL,1412034
RANGAREDDY,15_1,FAROOQNAGAR,06,CHATTANPALLE,1412007
RANGAREDDY,15_1,FAROOQNAGAR,06,CHILKAMARRI (CHELKA),1412028
RANGAREDDY,15_1,FAROOQNAGAR,06,CHINCHOD,1412022
RANGAREDDY,15_1,FAROOQNAGAR,06,CHOWLAPALLE (WEST),1412020
RANGAREDDY,15_1,FAROOQNAGAR,06,DOOSKAL,1412008
RANGAREDDY,15_1,FAROOQNAGAR,06,ELKATTA,1412003
RANGAREDDY,15_1,FAROOQNAGAR,06,FAROOQNAGAR (U.A),1412004
RANGAREDDY,15_1,FAROOQNAGAR,06,GANTLAVELLI,1412030
RANGAREDDY,15_1,FAROOQNAGAR,06,GUNDLAKUNTA,1412018
RANGAREDDY,15_1,FAROOQNAGAR,06,HAJIPALLE,1412017
RANGAREDDY,15_1,FAROOQNAGAR,06,JAGAMMAGUDA,1412026
RANGAREDDY,15_1,FAROOQNAGAR,06,KAMMADANAM,1412029
RANGAREDDY,15_1,FAROOQNAGAR,06,KAMSANPALLE,1412024
RANGAREDDY,15_1,FAROOQNAGAR,06,KANDIVANAM,1412021
RANGAREDDY,15_1,FAROOQNAGAR,06,KANGAGUDA,1412012
RANGAREDDY,15_1,GANDIPET,07,ALIZAPUR,1516013
RANGAREDDY,15_1,GANDIPET,07,BAIRAGIGUDA,1516016
RANGAREDDY,15_1,GANDIPET,07,BANDLAGUDA  (JAGIR),1516024
RANGAREDDY,15_1,GANDIPET,07,GANDAMGUDA,1516017
RANGAREDDY,15_1,GANDIPET,07,GANDIPET,1516005
RANGAREDDY,15_1,GANDIPET,07,GUNGURTHY,1516001
RANGAREDDY,15_1,GANDIPET,07,HIMAYATHSAGAR,1516026
RANGAREDDY,15_1,GANDIPET,07,HYDERSHAKOTI,1516018
RANGAREDDY,15_1,GANDIPET,07,JANIBEGUM,1516023
RANGAREDDY,15_1,GANDIPET,07,KHANAPUR,1516002
RANGAREDDY,15_1,GANDIPET,07,KISMATPUR,1516027
RANGAREDDY,15_1,GANDIPET,07,KOKAPET,1516004
RANGAREDDY,15_1,GANDIPET,07,MANCHIREVULA,1516015
RANGAREDDY,15_1,GANDIPET,07,MANIKONDA (JAGIR),1516010
RANGAREDDY,15_1,GANDIPET,07,MANIKONDA (KHALSA),1516009
RANGAREDDY,15_1,GANDIPET,07,MAQTHA KOUSARALI,1516008
RANGAREDDY,15_1,GANDIPET,07,NARSINGI,1516006
RANGAREDDY,15_1,GANDIPET,07,NEKNAMPUR,1516014
RANGAREDDY,15_1,GANDIPET,07,PEERAMCHERU,1516025
RANGAREDDY,15_1,GANDIPET,07,POKKALWADA,1516011
RANGAREDDY,15_1,HAYATHNAGAR,08,HAYATHNAGAR  (KHALSA),1514019
RANGAREDDY,15_1,HAYATHNAGAR,08,HAYATHNAGAR (BAGATH),1514002
RANGAREDDY,15_1,HAYATHNAGAR,08,HAYATHNAGAR AMANGAL,1514022
RANGAREDDY,15_1,HAYATHNAGAR,08,KALVANCHA,1514020
RANGAREDDY,15_1,HAYATHNAGAR,08,SAHEBNAGAR (KALAN),1514021
RANGAREDDY,15_1,HAYATHNAGAR,08,SAHEBNAGAR (KHURD),1514001
RANGAREDDY,15_1,IBRAHIMPATNAM,09,ADIBATLA,1534002
