location_id,hospitals,schools,metro,airports,last_updated
182,0,0,0,0,2026-02-13 12:14:23.830655
183,0,0,0,0,2026-02-13 12:14:23.830655
184,0,0,0,0,2026-02-13 12:14:23.874730
186,0,0,0,0,2026-02-13 12:14:23.874730
187,0,0,0,0,2026-02-13 12:14:23.874730
188,0,0,0,0,2026-02-13 12:14:23.874730
189,0,0,0,0,2026-02-13 12:14:23.874730
190,0,0,0,0,2026-02-13 12:14:23.874730
191,0,0,0,0,2026-02-13 12:14:23.874730
192,0,0,0,0,2026-02-13 12:14:23.874730
193,0,0,0,0,2026-02-13 12:14:23.874730
194,0,0,0,0,2026-02-13 12:14:23.913496
195,0,0,0,0,2026-02-13 12:14:23.913496
196,0,0,0,0,2026-02-13 12:14:23.913496
197,0,0,0,0,2026-02-13 12:14:23.913496
198,0,0,0,0,2026-02-13 12:14:23.913496
199,0,0,0,0,2026-02-13 12:14:23.913496
200,0,0,0,0,2026-02-13 12:14:23.913496
201,0,0,0,0,2026-02-13 12:14:23.913496
202,0,0,0,0,2026-02-13 12:14:23.913496
203,0,0,0,0,2026-02-13 12:14:23.913496
204,0,0,0,0,2026-02-13 12:14:23.964694
205,0,0,0,0,2026-02-13 12:14:23.964694
206,0,0,0,0,2026-02-13 12:14:23.964694
207,0,0,0,0,2026-02-13 12:14:23.964694
208,0,0,0,0,2026-02-13 12:14:23.964694
209,0,0,0,0,2026-02-13 12:14:23.964694
210,0,0,0,0,2026-02-13 12:14:23.964694
211,0,0,0,0,2026-02-13 12:14:23.964694
212,0,0,0,0,2026-02-13 12:14:23.964694
213,0,0,0,0,2026-02-13 12:14:23.964694
215,0,0,0,0,2026-02-13 12:14:24.042048
216,0,0,0,0,2026-02-13 12:14:24.042048
217,0,0,0,0,2026-02-13 12:14:24.042048
218,0,0,0,0,2026-02-13 12:14:24.042048
219,0,0,0,0,2026-02-13 12:14:24.042048
220,0,0,0,0,2026-02-13 12:14:24.042048
221,0,0,0,0,2026-02-13 12:14:24.042048
222,0,0,0,0,2026-02-13 12:14:24.042048
223,0,0,0,0,2026-02-13 12:14:24.042048
224,0,0,0,0,2026-02-13 12:14:24.083674
225,0,0,0,0,2026-02-13 12:14:24.083674
227,0,0,0,0,2026-02-13 12:14:24.083674
228,0,0,0,0,2026-02-13 12:14:24.083674
229,0,0,0,0,2026-02-13 12:14:24.083674
230,0,0,0,0,2026-02-13 12:14:24.083674
