id,raw_data_id,sentiment_score,sentiment_label,confidence,processed_at
1565,1414,0.8227435718290508,positive,0.8279297947883606,2026-01-17 12:26:02.649021
1572,1552,-0.4305712077766657,neutral,0.5164806246757507,2026-01-17 12:26:02.649021
1574,1420,-0.057418569922447205,neutral,0.8438165187835693,2026-01-17 12:26:02.649021
1575,1421,0.6714367582462728,positive,0.6783995032310486,2026-01-17 12:26:02.649021
1582,1441,0.660936088534072,positive,0.6639553308486938,2026-01-17 12:26:02.649021
1587,1448,0.5502096195705235,positive,0.5556245446205139,2026-01-17 12:26:02.649021
1592,1453,0.18169502913951874,neutral,0.6986566185951233,2026-01-17 12:26:02.649021
1595,1456,-0.3875795044004917,neutral,0.5510076880455017,2026-01-17 12:26:02.649021
1606,1476,0.22755929082632065,neutral,0.6526146531105042,2026-01-17 12:26:02.649021
1621,1491,0.05687897652387619,neutral,0.8368489146232605,2026-01-17 12:26:02.649021
1644,1591,-0.40330494940280914,neutral,0.5334388017654419,2026-01-17 12:26:02.649021
1648,1601,0.6824042964726686,positive,0.689910352230072,2026-01-17 12:26:02.649021
1650,1603,-0.14845117181539536,neutral,0.6300466060638428,2026-01-17 12:26:02.649021
1652,1605,0.6241465723142028,positive,0.6306156516075134,2026-01-17 12:26:02.649021
1653,1606,0.46554729621857405,neutral,0.5223924517631531,2026-01-17 12:26:02.649021
1656,1609,0.7991142421960831,positive,0.8026412725448608,2026-01-17 12:26:02.649021
1660,1613,-0.19601696729660034,neutral,0.6329198479652405,2026-01-17 12:26:02.649021
1668,1620,0.6508221626281738,positive,0.6618090271949768,2026-01-17 12:26:02.649021
1677,1630,-0.36897460371255875,neutral,0.5603654384613037,2026-01-17 12:26:02.649021
1686,1639,0.13217652961611748,neutral,0.8051511645317078,2026-01-17 12:26:02.649021
1687,1640,-0.0177743062376976,neutral,0.8580319881439209,2026-01-17 12:26:02.649021
1692,2765,-0.08516927063465118,neutral,0.8445408344268799,2026-01-17 12:26:02.649021
1693,1666,-0.49332302063703537,negative,0.534319281578064,2026-01-17 12:26:02.649021
1705,1678,0.03261613845825195,neutral,0.8346197009086609,2026-01-17 12:26:02.649021
1714,1687,0.6817888086661696,positive,0.6942765712738037,2026-01-17 12:26:02.649021
1727,1708,-0.34724676609039307,neutral,0.572195827960968,2026-01-17 12:26:02.649021
1728,1709,-0.33965492993593216,neutral,0.5573081374168396,2026-01-17 12:26:02.649021
1729,1710,-0.1627303957939148,neutral,0.6969914436340332,2026-01-17 12:26:02.649021
1730,1711,-0.536100659519434,negative,0.5704374313354492,2026-01-17 12:26:02.649021
1731,1712,0.20081271789968014,neutral,0.7509127259254456,2026-01-17 12:26:02.649021
1732,1713,-0.4119141809642315,neutral,0.4985384941101074,2026-01-17 12:26:02.649021
1733,1714,-0.1579178348183632,neutral,0.6642689108848572,2026-01-17 12:26:02.649021
1734,1715,-0.19894932955503464,neutral,0.6014053225517273,2026-01-17 12:26:02.649021
1735,1716,-0.008175447583198547,neutral,0.86539626121521,2026-01-17 12:26:02.649021
1736,1717,-0.023283615708351135,neutral,0.7300831079483032,2026-01-17 12:26:02.649021
1737,1718,-0.14259854331612587,neutral,0.7345274090766907,2026-01-17 12:26:02.649021
1738,1719,-0.19648995995521545,neutral,0.6314606666564941,2026-01-17 12:26:02.649021
1742,1734,-0.3451910726726055,neutral,0.5741043090820312,2026-01-17 12:26:02.649021
1744,1736,-0.27430879697203636,neutral,0.6177758574485779,2026-01-17 12:26:02.649021
1746,1738,-0.10114315152168274,neutral,0.7338812947273254,2026-01-17 12:26:02.649021
1748,1740,0.13595103845000267,neutral,0.7704929113388062,2026-01-17 12:26:02.649021
1749,1741,-0.2098257802426815,neutral,0.6767286658287048,2026-01-17 12:26:02.649021
1750,1742,-0.20513931289315224,neutral,0.70292067527771,2026-01-17 12:26:02.649021
1751,1743,-0.21413474529981613,neutral,0.6323727965354919,2026-01-17 12:26:02.649021
1752,1744,-0.25157616287469864,neutral,0.6059055328369141,2026-01-17 12:26:02.649021
1754,1746,-0.027448482811450958,neutral,0.781313955783844,2026-01-17 12:26:02.649021
1781,1799,-0.13868386298418045,neutral,0.670128345489502,2026-01-17 12:26:02.649021
1783,1801,-0.14778730273246765,neutral,0.6949109435081482,2026-01-17 12:26:02.649021
1790,1808,0.0597183033823967,neutral,0.8368908166885376,2026-01-17 12:26:02.649021
1803,1821,-0.0177743062376976,neutral,0.8580319881439209,2026-01-17 12:26:02.649021
1808,1840,-0.13868386298418045,neutral,0.670128345489502,2026-01-17 12:26:02.649021
1809,1841,0.36615907587110996,neutral,0.6123696565628052,2026-01-17 12:26:02.649021
1824,1856,-0.36485200375318527,neutral,0.5638538599014282,2026-01-17 12:26:02.649021
1825,1857,-0.42802376858890057,neutral,0.5128568410873413,2026-01-17 12:26:02.649021
1834,1860,-0.0177743062376976,neutral,0.8580319881439209,2026-01-17 12:26:02.649021
1841,1867,-0.17370837926864624,neutral,0.6792025566101074,2026-01-17 12:26:02.649021
1845,1871,-0.19051238894462585,neutral,0.6889548301696777,2026-01-17 12:26:02.649021
1846,1872,-0.20744404196739197,neutral,0.6580670475959778,2026-01-17 12:26:02.649021
1847,1873,-0.25157616287469864,neutral,0.6059055328369141,2026-01-17 12:26:02.649021
1877,2039,-0.35501259192824364,neutral,0.573084831237793,2026-01-17 12:26:02.649021
1884,2046,-0.09516970813274384,neutral,0.8352879285812378,2026-01-17 12:26:02.649021
1903,2094,-0.36009081080555916,neutral,0.5634207129478455,2026-01-17 12:26:02.649021
1916,2107,-0.34352050349116325,neutral,0.5792778730392456,2026-01-17 12:26:02.649021
1918,2109,-0.3549572192132473,neutral,0.570556640625,2026-01-17 12:26:02.649021
1935,2125,-0.19486170634627342,neutral,0.6855525970458984,2026-01-17 12:26:02.649021
1962,2183,-0.21110215038061142,neutral,0.696043074131012,2026-01-17 12:26:02.649021
2004,2239,-0.20031999424099922,neutral,0.6818507313728333,2026-01-17 12:26:02.649021
2036,2304,-0.10464094579219818,neutral,0.6736875772476196,2026-01-17 12:26:02.649021
2045,2313,-0.09516970813274384,neutral,0.8352879285812378,2026-01-17 12:26:02.649021
2068,2353,-0.22214584797620773,neutral,0.6705344915390015,2026-01-17 12:26:02.649021
2098,2402,0.24757833778858185,neutral,0.6717312932014465,2026-01-17 12:26:02.649021
2099,2403,-0.22426308691501617,neutral,0.6651374101638794,2026-01-17 12:26:02.649021
2112,2405,0.15508948266506195,neutral,0.6799089908599854,2026-01-17 12:26:02.649021
2113,2406,-0.23320479691028595,neutral,0.6672573089599609,2026-01-17 12:26:02.649021
2114,2407,0.18805914372205734,neutral,0.6760339736938477,2026-01-17 12:26:02.649021
2119,2553,-0.0177743062376976,neutral,0.8580319881439209,2026-01-17 12:26:02.649021
2122,2409,-0.24755816161632538,neutral,0.6561516523361206,2026-01-17 12:26:02.649021
2123,2410,-0.23070618882775307,neutral,0.667264461517334,2026-01-17 12:26:02.649021
2133,2412,0.19001922011375427,neutral,0.6719838380813599,2026-01-17 12:26:02.649021
2137,2414,0.20680873095989227,neutral,0.6587417125701904,2026-01-17 12:26:02.649021
2138,2415,-0.211088128387928,neutral,0.6907836198806763,2026-01-17 12:26:02.649021
2143,2416,-0.1277185156941414,neutral,0.7626239657402039,2026-01-17 12:26:02.649021
2144,2417,-0.2978705409914255,neutral,0.6422210335731506,2026-01-17 12:26:02.649021
2145,2432,0.08434925228357315,neutral,0.7690215706825256,2026-01-17 12:26:02.649021
2146,2419,-0.20604050904512405,neutral,0.6951063871383667,2026-01-17 12:26:02.649021
2151,2420,0.20772995799779892,neutral,0.6590352058410645,2026-01-17 12:26:02.649021
2156,2425,-0.3449453264474869,neutral,0.5564090609550476,2026-01-17 12:26:02.649021
2157,2426,-0.6178853791207075,negative,0.6381104588508606,2026-01-17 12:26:02.649021
2158,2427,0.1576775386929512,neutral,0.6018010377883911,2026-01-17 12:26:02.649021
2160,2429,-0.1788526475429535,neutral,0.728866696357727,2026-01-17 12:26:02.649021
