id,name,city,region,geom,created_at,boundary,school_count,hospital_count
6,Nanakramguda,Hyderabad,West Hyderabad,POINT(78.3379784 17.4217796),2025-12-25 18:48:04.444138,"POLYGON((78.35679011029849 17.422030105735526,78.35647937519856 17.41850217324106,78.35545768174084 17.415100224650722,78.35376433093053 17.411954989319536,78.35146442579469 17.4091873242676,78.34864636518155 17.406903571633517,78.34541844440244 17.405191474693442,78.34190469368926 17.40411680898303,78.33824011436275 17.403720857524625,78.33456549539046 17.404018826739694,78.33102200883559 17.404999263559507,78.32774579099762 17.406624495908986,78.3248627165328 17.4088320795824,78.32248356550743 17.411537196034402,78.32069976845054 17.41463590922804,78.31957989257415 17.418009156786677,78.31916700421407 17.421527322535454,78.31947700923666 17.425055215162445,78.32049803588302 17.42845726204194,78.32219088466388 17.431602718855302,78.32449052898164 17.434370694863762,78.32730860969525 17.436654800588446,78.33053682843331 17.438367238998342,78.33405110960241 17.439442182572094,78.33771637112467 17.439838305985184,78.3413917201744 17.439540376637584,78.3449358735407 17.438559841528576,78.34821259340809 17.436934387696876,78.3510959286909 17.43472649306689,78.35347505961568 17.432021023524293,78.35525855871354 17.428921968860887,78.35637790413404 17.425548443438952,78.35679011029849 17.422030105735526))",0,0
38,Alwal,Hyderabad,West Hyderabad,POINT(78.5088584 17.5022292),2026-02-13 12:14:22.851857,,0,0
61,Boduppal,Hyderabad,West Hyderabad,POINT(78.5827841 17.4200755),2026-02-13 12:14:23.107527,,0,0
7,Kukatpally,Hyderabad,West Hyderabad,POINT(78.4054408 17.4930841),2025-12-25 18:48:04.444138,"POLYGON((78.4242608484588 17.49332920492831,78.4239488746638 17.48980121129703,78.42292567027711 17.486399411455697,78.42123059444435 17.4832545288655,78.4189288164584 17.480487406830875,78.41610880701607 17.478204366504166,78.41287893611782 17.476493123729405,78.4093633086859 17.475419421227222,78.4056969979007 17.47502450508159,78.40202085903691 17.47532354206004,78.39847612239944 17.47630503822804,78.39519897225136 17.47793128097778,78.39231531910268 17.480139787434474,78.38993596538198 17.482845703709103,78.38815234961092 17.48594506308665,78.38703303228635 17.489318778348025,78.38662105854097 17.492837215267677,78.38693229932514 17.496365171980212,78.38795483555727 17.49976707322939,78.38964940981224 17.502912180115576,78.39195092915786 17.505679615187358,78.39477096227296 17.507963009635287,78.39800113555314 17.509674593703608,78.40151729804127 17.510748572712828,78.40518429509949 17.51114365848327,78.40886116697428 17.510844658423554,78.41240657176635 17.50986306084767,78.41568422349219 17.508236593801875,78.4185681352811 17.50602777430801,78.42094746532891 17.503321503912154,78.42273077871798 17.500221803241093,78.42384956098634 17.49684781147273,78.4242608484588 17.49332920492831))",0,0
199,Puppalaguda,Hyderabad,West Hyderabad,POINT(78.3756838 17.3959138),2026-02-13 12:14:23.913496,,0,0
37,Alkapur,Hyderabad,West Hyderabad,POINT(78.3677347 17.3859777),2026-02-13 12:14:22.851857,,0,0
60,Bhoganahalli,Bangalore,West Hyderabad,POINT(77.7009129 12.9265141),2026-02-13 12:14:23.107527,,0,0
71,Chikagubbi,Bangalore,West Hyderabad,POINT(77.6617692 13.0800592),2026-02-13 12:14:23.172908,,0,0
65,Budigere Cross,Bangalore,West Hyderabad,POINT(77.7501643 13.0470762),2026-02-13 12:14:23.172908,,0,0
182,Old Airport Road,Bangalore,West Hyderabad,POINT(77.6273702 12.9628509),2026-02-13 12:14:23.830655,,0,0
385,SARJAPURA,Bangalore,West Hyderabad,POINT(77.7861352 12.8600866),2026-02-19 10:41:39.611614,,0,0
386,SHIVAJINAGAR,Bangalore,West Hyderabad,POINT(77.6054496 12.9855286),2026-02-19 10:41:39.611614,,0,0
388,Sadashiva Nagar,Bangalore,West Hyderabad,POINT(77.5808641 13.0110193),2026-02-19 10:41:39.611614,,0,0
389,Sahakar Nagar,Bangalore,West Hyderabad,POINT(77.5857251 13.069641),2026-02-19 10:41:39.611614,,0,0
390,Sahakara Nagar,Bangalore,West Hyderabad,POINT(77.5800614 13.0621474),2026-02-19 10:41:39.611614,,0,0
391,Samethanahalli,Bangalore,West Hyderabad,POINT(77.7907328 12.979363),2026-02-19 10:41:39.611614,,0,0
392,Sampangi Rama Nagara,Bangalore,West Hyderabad,POINT(77.5919645 12.9651927),2026-02-19 10:41:39.611614,,0,0
394,Singasandra,Bangalore,West Hyderabad,POINT(77.642089 12.8787382),2026-02-19 10:41:39.611614,,0,0
395,Sompura,Bangalore,West Hyderabad,POINT(77.4972385 12.8778283),2026-02-19 10:41:39.611614,,0,0
